code,icao,name,city_code,country,city,state,county
COP,K23,Cooperstown - Westville Airport,COP,US,Cooperstown,New York,Otsego County
COQ,ZMCD,Choibalsan,COQ,MN,,,
COR,SACO,Ingeniero Aeronautico Ambrosio L.V. Taravella International Airport,COR,AR,Villa Allende,Cordoba,
COS,KCOS,Colorado Springs Airport,COS,US,Security-Widefield,Colorado,El Paso County
COT,KCOT,Cotulla,COT,US,Cotulla,Texas,La Salle County
COU,KCOU,Columbia Regional Airport,COU,US,Ashland,Missouri,Boone County
COV,,Covilha,COV,PT,Covilha,Castelo Branco,Covilha
COW,SCCQ,Coquimbo,COW,CL,Los Andes,Valparaiso,Provincia de Los Andes
COY,YCWY,Coolawanyah,COY,AU,,,
COZ,MDCZ,Constanza,COZ,DO,Constanza,La Vega,Constanza
CPA,GLCP,A. Tubman,CPA,LR,Harper City,Maryland,
CPB,SKCA,Capurgana,CPB,CO,,,
CPC,SAZY,Chapelco Airport,CPC,AR,Junin de los Andes,Neuquen,
CPD,YCBP,Coober Pedy Airport,CPD,AU,,,
CPE,MMCP,Campeche International Airport,CPE,MX,Campeche,Campeche,Campeche
CPF,WARC,Cepu,CPF,ID,Cepu,Central Java,
CPG,,Carmen De Patagones,CPG,AR,,,
CPH,EKCH,Copenhagen Airport,CPH,DK,Dragor,Capital Region,Dragor Kommune
CPI,,Cape Orford,CPI,PG,,,
CPL,SKHA,Chaparral,CPL,CO,Chaparral,Tolima,
CPM,KCPM,Compton,CPM,US,West Rancho Dominguez,California,Los Angeles County
CPN,,Cape Rodney,CPN,PG,,,
CPO,SCAT,Chamonate Airport,CPO,CL,Copiapo,Atacama,Provincia de Copiapo
CPP,SCKP,Coposa Airport,CPP,CL,,,
CPQ,,International,CPQ,BR,Campinas,Sao Paulo,Campinas
CPR,KCPR,Casper/Natrona County International Airport,CPR,US,Mills,Wyoming,Natrona County
CPS,KCPS,St. Louis Downtown Airport,STL,US,Cahokia,Illinois,Saint Clair County
CPT,FACT,Cape Town International Airport,CPT,ZA,Lansdowne,Western Cape,City of Cape Town
CPU,SNCU,Cururupu,CPU,BR,Cururupu,Maranhao,Cururupu
CPV,SBKG,Joao Suassuna Airport,CPV,BR,Campina Grande,Paraiba,Campina Grande
CPX,TJCP,Benjamin Rivera Noriega Airport,CPX,PR,Culebra,Culebra,
CQA,SWEK,Canarana Airport,CQA,BR,,,
CQD,OIFS,Shahre-kord,CQD,IR,Shahrekord,Chahar Mahall va Bakhtiari,
